Speaker,Initials,Order,Season,Episode,SeriesNumber,EpisodeCount,EpisodeTotal,EpisodePct
Michael,MS,1,1,1,1,97,262,0.370229008
Michael,MS,1,1,2,2,103,245,0.420408163
Michael,MS,1,1,3,3,69,313,0.220447284
Michael,MS,1,1,4,4,111,354,0.313559322
Michael,MS,1,1,5,5,135,285,0.473684211
Michael,MS,1,1,6,6,128,360,0.355555556
Michael,MS,1,2,1,7,138,381,0.362204724
Michael,MS,1,2,2,8,112,289,0.387543253
Michael,MS,1,2,3,9,120,375,0.32
Michael,MS,1,2,4,10,82,370,0.221621622
Michael,MS,1,2,5,11,150,325,0.461538462
Michael,MS,1,2,6,12,102,310,0.329032258
Michael,MS,1,2,7,13,88,285,0.30877193
Michael,MS,1,2,8,14,147,401,0.366583541
Michael,MS,1,2,9,15,131,344,0.380813953
Michael,MS,1,2,10,16,95,337,0.28189911
Michael,MS,1,2,11,17,116,286,0.405594406
Michael,MS,1,2,12,18,146,385,0.379220779
Michael,MS,1,2,13,19,114,299,0.381270903
Michael,MS,1,2,14,20,127,324,0.391975309
Michael,MS,1,2,15,21,88,298,0.295302013
Michael,MS,1,2,16,22,53,203,0.261083744
Michael,MS,1,2,17,23,75,252,0.297619048
Michael,MS,1,2,18,24,85,245,0.346938776
Michael,MS,1,2,19,25,99,262,0.377862595
Michael,MS,1,2,20,26,62,277,0.223826715
Michael,MS,1,2,21,27,95,286,0.332167832
Michael,MS,1,2,22,28,112,367,0.305177112
Michael,MS,1,3,1,29,63,171,0.368421053
Michael,MS,1,3,2,30,123,288,0.427083333
Michael,MS,1,3,3,31,83,275,0.301818182
Michael,MS,1,3,4,32,106,290,0.365517241
Michael,MS,1,3,5,33,44,292,0.150684932
Michael,MS,1,3,6,34,77,237,0.324894515
Michael,MS,1,3,7,35,70,240,0.291666667
Michael,MS,1,3,8,36,153,514,0.29766537
Michael,MS,1,3,9,37,54,165,0.327272727
Michael,MS,1,3,10,38,116,468,0.247863248
Michael,MS,1,3,11,39,100,303,0.330033003
Michael,MS,1,3,12,40,48,228,0.210526316
Michael,MS,1,3,13,41,49,190,0.257894737
Michael,MS,1,3,14,42,77,188,0.409574468
Michael,MS,1,3,15,43,49,152,0.322368421
Michael,MS,1,3,16,44,65,220,0.295454545
Michael,MS,1,3,17,45,85,283,0.300353357
Michael,MS,1,3,18,46,107,339,0.315634218
Michael,MS,1,3,19,47,102,360,0.283333333
Michael,MS,1,3,20,48,68,345,0.197101449
Michael,MS,1,3,21,49,92,306,0.300653595
Michael,MS,1,3,22,50,145,339,0.427728614
Michael,MS,1,3,23,51,123,449,0.273942094
Michael,MS,1,4,1,52,160,540,0.296296296
Michael,MS,1,4,2,53,158,585,0.27008547
Michael,MS,1,4,3,54,156,552,0.282608696
Michael,MS,1,4,4,55,159,505,0.314851485
Michael,MS,1,4,5,56,93,258,0.360465116
Michael,MS,1,4,6,57,93,294,0.316326531
Michael,MS,1,4,7,58,82,273,0.3003663
Michael,MS,1,4,8,59,89,251,0.354581673
Michael,MS,1,4,9,60,101,316,0.319620253
Michael,MS,1,4,10,61,101,254,0.397637795
Michael,MS,1,4,11,62,104,335,0.310447761
Michael,MS,1,4,12,63,99,308,0.321428571
Michael,MS,1,4,13,64,77,191,0.403141361
Michael,MS,1,4,14,65,167,607,0.275123558
Michael,MS,1,5,1,66,130,551,0.235934664
Michael,MS,1,5,2,67,65,256,0.25390625
Michael,MS,1,5,3,68,83,311,0.266881029
Michael,MS,1,5,4,69,96,290,0.331034483
Michael,MS,1,5,5,70,107,430,0.248837209
Michael,MS,1,5,6,71,73,400,0.1825
Michael,MS,1,5,7,72,77,287,0.268292683
Michael,MS,1,5,8,73,90,262,0.34351145
Michael,MS,1,5,9,74,100,304,0.328947368
Michael,MS,1,5,10,75,65,234,0.277777778
Michael,MS,1,5,11,76,52,281,0.185053381
Michael,MS,1,5,12,77,91,223,0.408071749
Michael,MS,1,5,13,78,119,374,0.318181818
Michael,MS,1,5,14,79,55,200,0.275
Michael,MS,1,5,15,80,50,236,0.211864407
Michael,MS,1,5,16,81,88,250,0.352
Michael,MS,1,5,17,82,113,282,0.40070922
Michael,MS,1,5,18,83,104,206,0.504854369
Michael,MS,1,5,19,84,88,231,0.380952381
Michael,MS,1,5,20,85,78,244,0.319672131
Michael,MS,1,5,21,86,46,232,0.198275862
Michael,MS,1,5,22,87,96,274,0.350364964
Michael,MS,1,5,23,88,76,199,0.381909548
Michael,MS,1,5,24,89,95,319,0.297805643
Michael,MS,1,5,25,90,85,276,0.307971014
Michael,MS,1,5,26,91,55,218,0.252293578
Michael,MS,1,6,1,92,98,313,0.313099042
Michael,MS,1,6,2,93,72,231,0.311688312
Michael,MS,1,6,3,94,86,297,0.28956229
Michael,MS,1,6,4,95,130,481,0.27027027
Michael,MS,1,6,5,96,122,306,0.39869281
Michael,MS,1,6,6,97,85,314,0.270700637
Michael,MS,1,6,7,98,85,305,0.278688525
Michael,MS,1,6,8,99,114,328,0.347560976
Michael,MS,1,6,9,100,67,239,0.280334728
Michael,MS,1,6,10,101,71,218,0.325688073
Michael,MS,1,6,11,102,69,224,0.308035714
Michael,MS,1,6,12,103,95,302,0.314569536
Michael,MS,1,6,13,104,44,91,0.483516484
Michael,MS,1,6,14,105,82,195,0.420512821
Michael,MS,1,6,15,106,69,249,0.277108434
Michael,MS,1,6,16,107,118,574,0.205574913
Michael,MS,1,6,17,108,52,202,0.257425743
Michael,MS,1,6,18,109,85,280,0.303571429
Michael,MS,1,6,19,110,74,295,0.250847458
Michael,MS,1,6,20,111,46,260,0.176923077
Michael,MS,1,6,21,112,87,286,0.304195804
Michael,MS,1,6,22,113,92,267,0.344569288
Michael,MS,1,6,23,114,82,297,0.276094276
Michael,MS,1,6,24,115,67,184,0.364130435
Michael,MS,1,7,1,116,58,211,0.274881517
Michael,MS,1,7,2,117,31,252,0.123015873
Michael,MS,1,7,3,118,43,203,0.21182266
Michael,MS,1,7,4,119,88,274,0.321167883
Michael,MS,1,7,5,120,85,341,0.249266862
Michael,MS,1,7,6,121,59,250,0.236
Michael,MS,1,7,7,122,76,236,0.322033898
Michael,MS,1,7,8,123,56,268,0.208955224
Michael,MS,1,7,9,124,67,273,0.245421245
Michael,MS,1,7,10,125,56,289,0.193771626
Michael,MS,1,7,11,126,130,552,0.235507246
Michael,MS,1,7,12,127,82,307,0.267100977
Michael,MS,1,7,13,128,37,249,0.148594378
Michael,MS,1,7,14,129,42,282,0.14893617
Michael,MS,1,7,15,130,73,350,0.208571429
Michael,MS,1,7,16,131,33,70,0.471428571
Michael,MS,1,7,17,132,57,271,0.210332103
Michael,MS,1,7,18,133,72,288,0.25
Michael,MS,1,7,19,134,70,160,0.4375
Michael,MS,1,7,20,135,83,195,0.425641026
Michael,MS,1,7,21,136,116,298,0.389261745
Michael,MS,1,7,22,137,0,166,0
Michael,MS,1,7,23,138,0,239,0
